File,Key,UntranslatedValue,EnglishString,IsDuplicate,OccurrenceCount,DuplicateLocations
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimAbout.json","errors.counterClaimReasonsRequired","cyEnter what the defendant’s reasons are for making the counterclaim","Enter what the defendant’s reasons are for making the counterclaim","FALSE","1","counterClaimAbout.json::errors.counterClaimReasonsRequired"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimAbout.json","errors.counterClaimReasonsMaxLength","cyWhat the defendant’s reasons are for making the counterclaim must be 6800 characters or less","What the defendant’s reasons are for making the counterclaim must be 6800 characters or less","FALSE","1","counterClaimAbout.json::errors.counterClaimReasonsMaxLength"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimAgainstWhom.json","pageTitle","cyWho the counterclaim is against","Who the counterclaim is against","FALSE","1","counterClaimAgainstWhom.json::pageTitle"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimAgainstWhom.json","checkboxHint","cySelect all that apply","Select all that apply","FALSE","1","counterClaimAgainstWhom.json::checkboxHint"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimAgainstWhom.json","heading","cyWho is the defendant making a counterclaim against?","Who is the defendant making a counterclaim against?","FALSE","1","counterClaimAgainstWhom.json::heading"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimAgainstWhom.json","errors.counterClaimAgainst.required","cySelect who the defendant is making a counterclaim against","Select who the defendant is making a counterclaim against","FALSE","1","counterClaimAgainstWhom.json::errors.counterClaimAgainst.required"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimDoYouWantToUploadFiles.json","pageTitle","cyDo you want to upload files?","Do you want to upload files?","FALSE","1","counterClaimDoYouWantToUploadFiles.json::pageTitle"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimDoYouWantToUploadFiles.json","heading","cyDo you want to upload files to support the counterclaim?","Do you want to upload files to support the counterclaim?","FALSE","1","counterClaimDoYouWantToUploadFiles.json::heading"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimDoYouWantToUploadFiles.json","paragraph1","cyWitness statements do not need to be uploaded at this stage, directions for the exchange of witness statements will be given later.","Witness statements do not need to be uploaded at this stage, directions for the exchange of witness statements will be given later.","FALSE","1","counterClaimDoYouWantToUploadFiles.json::paragraph1"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimDoYouWantToUploadFiles.json","paragraph2","cyAll parties will be able to see these files.","All parties will be able to see these files.","FALSE","1","counterClaimDoYouWantToUploadFiles.json::paragraph2"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimDoYouWantToUploadFiles.json","errors.counterClaimWantToUploadFiles","cySelect if you want to upload files to support the counterclaim","Select if you want to upload files to support the counterclaim","FALSE","1","counterClaimDoYouWantToUploadFiles.json::errors.counterClaimWantToUploadFiles"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimFee.json","pageTitle","cyCounterclaim fee","Counterclaim fee","FALSE","1","counterClaimFee.json::pageTitle"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimFee.json","counterClaimFeeHeading","cyHelp with court fees","Help with court fees","FALSE","1","counterClaimFee.json::counterClaimFeeHeading"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimFee.json","counterClaimFeeCostParagraph","cyBased on the information provided, it will cost the defendant {{counterClaimFee, currency(currency: GBP; trailingZeroDisplay: stripIfInteger)}} to make their counterclaim.","Based on the information provided, it will cost the defendant {{counterClaimFee, currency(currency: GBP; trailingZeroDisplay: stripIfInteger)}} to make their counterclaim.","FALSE","1","counterClaimFee.json::counterClaimFeeCostParagraph"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimFee.json","counterClaimFeeHelpParagraph","cyThe defendant may be able to get help paying the fee if they (one or more of the following):","The defendant may be able to get help paying the fee if they (one or more of the following):","FALSE","1","counterClaimFee.json::counterClaimFeeHelpParagraph"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimFee.json","counterClaimFeeHeading2","cyDoes the defendant need help paying the counterclaim fee?","Does the defendant need help paying the counterclaim fee?","FALSE","1","counterClaimFee.json::counterClaimFeeHeading2"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimFee.json","counterClaimFeeOptions.iNeedHelpWithPayingFee","cyThe defendant needs help paying the fee","The defendant needs help paying the fee","FALSE","1","counterClaimFee.json::counterClaimFeeOptions.iNeedHelpWithPayingFee"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimFee.json","counterClaimFeeOptions.iDoNotNeedHelpWithPayingFee","cyThe defendant does not need help paying the fee","The defendant does not need help paying the fee","FALSE","1","counterClaimFee.json::counterClaimFeeOptions.iDoNotNeedHelpWithPayingFee"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimFee.json","errors.counterClaimFee.required","cySelect if the defendant needs help paying the counterclaim fee","Select if the defendant needs help paying the counterclaim fee","FALSE","1","counterClaimFee.json::errors.counterClaimFee.required"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimHaveYouAppliedForHelp.json","pageTitle","cyHelp with counterclaim fee","Help with counterclaim fee","FALSE","1","counterClaimHaveYouAppliedForHelp.json::pageTitle"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimHaveYouAppliedForHelp.json","heading","cyHas the defendant already applied for help with their counterclaim fee?","Has the defendant already applied for help with their counterclaim fee?","TRUE","2","counterClaimHaveYouAppliedForHelp.json::heading ; counterClaimHaveYouAppliedForHelp.json::question"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimHaveYouAppliedForHelp.json","question","cyHas the defendant already applied for help with their counterclaim fee?","Has the defendant already applied for help with their counterclaim fee?","TRUE","2","counterClaimHaveYouAppliedForHelp.json::heading ; counterClaimHaveYouAppliedForHelp.json::question"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimHaveYouAppliedForHelp.json","revealedHwfQuestionLabel","cyEnter the defendant’s Help with Fees reference number","Enter the defendant’s Help with Fees reference number","TRUE","2","counterClaimHaveYouAppliedForHelp.json::revealedHwfQuestionLabel ; counterClaimHaveYouAppliedForHelp.json::errors.hwfReference"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimHaveYouAppliedForHelp.json","errors.alreadyAppliedForHelp","cySelect if the defendant has already applied for help with their counterclaim fee?","Select if the defendant has already applied for help with their counterclaim fee?","FALSE","1","counterClaimHaveYouAppliedForHelp.json::errors.alreadyAppliedForHelp"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimHaveYouAppliedForHelp.json","errors.hwfReference","cyEnter the defendant’s Help with Fees reference number","Enter the defendant’s Help with Fees reference number","TRUE","2","counterClaimHaveYouAppliedForHelp.json::revealedHwfQuestionLabel ; counterClaimHaveYouAppliedForHelp.json::errors.hwfReference"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimHaveYouAppliedForHelp.json","errors.hwfReferenceMaxLength","cyThe defendant’s Help with Fees reference number must be 60 characters or fewer","The defendant’s Help with Fees reference number must be 60 characters or fewer","FALSE","1","counterClaimHaveYouAppliedForHelp.json::errors.hwfReferenceMaxLength"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimOrderOtherThanSum.json","pageTitle","cyClaim for something else","Claim for something else","FALSE","1","counterClaimOrderOtherThanSum.json::pageTitle"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimOrderOtherThanSum.json","heading","cyCounterclaim for an order other than a sum of money","Counterclaim for an order other than a sum of money","FALSE","1","counterClaimOrderOtherThanSum.json::heading"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimOrderOtherThanSum.json","infoParagraph1","cyYou will be able to upload any evidence the defendant has on the next page.","You will be able to upload any evidence the defendant has on the next page.","TRUE","2","counterClaimAbout.json::infoParagraph1 ; counterClaimOrderOtherThanSum.json::infoParagraph1"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimOrderOtherThanSum.json","infoParagraph2","cyThe claimant will be able to see your answers.","The claimant will be able to see your answers.","TRUE","2","counterClaimAbout.json::infoParagraph2 ; counterClaimOrderOtherThanSum.json::infoParagraph2"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimOrderOtherThanSum.json","characterCountHint","cyFor example, ‘for the landlord to conduct remedial works’","For example, ‘for the landlord to conduct remedial works’","FALSE","1","counterClaimOrderOtherThanSum.json::characterCountHint"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimOrderOtherThanSum.json","otherOrderRequestFactsLabel","cyWhat facts would they like the court to consider when deciding the claim?","What facts would they like the court to consider when deciding the claim?","FALSE","1","counterClaimOrderOtherThanSum.json::otherOrderRequestFactsLabel"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimOrderOtherThanSum.json","otherOrderRequestDetailsLabel","cyWhat orders are they asking for the court to make?","What orders are they asking for the court to make?","FALSE","1","counterClaimOrderOtherThanSum.json::otherOrderRequestDetailsLabel"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimOrderOtherThanSum.json","errors.otherOrderRequestDetailsRequired","cyEnter what orders they are asking the court to make","Enter what orders they are asking the court to make","FALSE","1","counterClaimOrderOtherThanSum.json::errors.otherOrderRequestDetailsRequired"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimOrderOtherThanSum.json","errors.otherOrderRequestDetailsMaxLength","cyWhat orders they are asking the court to make must be 6800 characters or less","What orders they are asking the court to make must be 6800 characters or less","FALSE","1","counterClaimOrderOtherThanSum.json::errors.otherOrderRequestDetailsMaxLength"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimOrderOtherThanSum.json","errors.otherOrderRequestFactsRequired","cyEnter what facts they would like the court to consider when deciding the claim","Enter what facts they would like the court to consider when deciding the claim","FALSE","1","counterClaimOrderOtherThanSum.json::errors.otherOrderRequestFactsRequired"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimOrderOtherThanSum.json","errors.otherOrderRequestFactsMaxLength","cyWhat facts they would like the court to consider must be 6800 characters or less","What facts they would like the court to consider must be 6800 characters or less","FALSE","1","counterClaimOrderOtherThanSum.json::errors.otherOrderRequestFactsMaxLength"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","pageTitle","cySum of counterclaim","Sum of counterclaim","FALSE","1","counterClaimSpecificSum.json::pageTitle"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","heading","cyIs the defendant claiming for a specific sum of money?","Is the defendant claiming for a specific sum of money?","FALSE","1","counterClaimSpecificSum.json::heading"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","claimAmountLabel","cyHow much is the defendant claiming?","How much is the defendant claiming?","FALSE","1","counterClaimSpecificSum.json::claimAmountLabel"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","maxClaimAmountLabel","cyWhat’s the maximum value of their claim?","What’s the maximum value of their claim?","FALSE","1","counterClaimSpecificSum.json::maxClaimAmountLabel"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","errors.isClaimAmountKnown.required","cySelect if the defendant is claiming for a specific sum of money","Select if the defendant is claiming for a specific sum of money","FALSE","1","counterClaimSpecificSum.json::errors.isClaimAmountKnown.required"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","errors.claimAmount.required","cyEnter how much the defendant is claiming for","Enter how much the defendant is claiming for","FALSE","1","counterClaimSpecificSum.json::errors.claimAmount.required"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","errors.claimAmount.largeAmount","cyThe amount the defendant is claiming for must be less than £1 billion","The amount the defendant is claiming for must be less than £1 billion","FALSE","1","counterClaimSpecificSum.json::errors.claimAmount.largeAmount"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","errors.claimAmount.negative","cyThe amount the defendant is claiming for must be £0.00 or above","The amount the defendant is claiming for must be £0.00 or above","FALSE","1","counterClaimSpecificSum.json::errors.claimAmount.negative"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","errors.claimAmount.invalidFormat","cyEnter how much the defendant is claiming for in the correct format, for example 148.00 or 148.50","Enter how much the defendant is claiming for in the correct format, for example 148.00 or 148.50","FALSE","1","counterClaimSpecificSum.json::errors.claimAmount.invalidFormat"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","errors.estimatedMaxClaimAmount.required","cyEnter the maximum value of the defendant’s claim","Enter the maximum value of the defendant’s claim","FALSE","1","counterClaimSpecificSum.json::errors.estimatedMaxClaimAmount.required"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","errors.estimatedMaxClaimAmount.largeAmount","cyThe maximum value the defendant is claiming for must be less than £1 billion","The maximum value the defendant is claiming for must be less than £1 billion","FALSE","1","counterClaimSpecificSum.json::errors.estimatedMaxClaimAmount.largeAmount"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","errors.estimatedMaxClaimAmount.negative","cyThe maximum value the defendant is claiming for must be £0.00 or above","The maximum value the defendant is claiming for must be £0.00 or above","FALSE","1","counterClaimSpecificSum.json::errors.estimatedMaxClaimAmount.negative"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimSpecificSum.json","errors.estimatedMaxClaimAmount.invalidFormat","cyEnter the maximum value of the defendant’s claim in the correct format, for example 148.00 or 148.50","Enter the maximum value of the defendant’s claim in the correct format, for example 148.00 or 148.50","FALSE","1","counterClaimSpecificSum.json::errors.estimatedMaxClaimAmount.invalidFormat"
